"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"2667","イメージワン","東証ST","卸売","2420","10803600","0","0","-","3.57","-18.64","62.82","22400","100","20250218","315","20250407","185"
"2668","タビオ","東証ST","卸売","7836","6813880","2.61","30","15.9","1.62","72.31","711.46","115000","100","20250117","1300","20250407","1100"
"2669","カネ美食品","東証ST","小売","32050","10000000","1.19","38","17.72","1.07","180.85","3005.61","320500","100","20250213","3400","20250407","2990"
"2670","エービーシー・マート","東証PR","小売","667333","247618938","2.6","70","14.66","1.82","183.87","1483.45","269500","100","20250108","3310","20250411","2552"
"2673","夢みつけ隊","東証ST","小売","1088","10458000","0","0","21.05","0.43","4.94","240.48","10400","100","20250117","125","20250407","84"
"2674","ハードオフコーポレーション","東証PR","小売","25815","13954000","4.11","76","11.63","1.45","159.03","1273.63","185000","100","20250206","1990","20250407","1571"
"2676","高千穂交易","東証PR","卸売","41348","10171800","3.94","160","25.07","2.28","162.13","1779.99","406500","100","20250321","4340","20250407","3190"
"2678","アスクル","東証PR","小売","142820","94771300","2.52","38","16.89","1.87","89.2","806.65","150700","100","20250129","1734","20250407","1382"
"2681","ゲオホールディングス","東証PR","小売","75147","39718052","1.8","34","12.52","0.81","151.1","2325.91","189200","100","20250425","1988","20250110","1592"
"2683","魚喜","東証ST","小売","2656","2555856","0.96","10","66.35","3.04","15.66","341.33","103900","100","20250410","1090","20250410","988"
"2685","アダストリア","東証PR","小売","140886","48800000","3.12","90","10.78","1.73","267.86","1665.51","288700","100","20250107","3500","20250409","2581"
"2686","ジーフット","東証ST","小売","11625","42580900","0","0","1186.96","-","0.23","-248.9","27300","100","20250411","297","20250411","256"
"2687","シー・ヴイ・エス・ベイエリア","東証ST","小売","2760","5064000","4.77","26","10.89","0.61","50.04","887.13","54500","100","20250129","588","20250407","473"
"2689","オルバヘルスケアホールディングス","東証ST","卸売","13206","6250000","3.79","80","8.54","1.06","247.33","1987.12","211300","100","20250401","2235","20250407","1800"
"268A","リガク・ホールディングス","東証PR","精密機器","201841","225268600","2.1","18.8","14.36","2.47","62.4","363.02","89600","100","20250220","1171","20250409","641"
"2692","伊藤忠食品","東証PR","卸売","112063","12720000","1.82","160","13.47","0.97","654.22","9109.5","881000","100","20250423","9780","20250117","6950"
"2693","YKT","東証ST","卸売","2643","11906880","2.25","5","12.88","0.32","17.23","695.4","22200","100","20250107","314","20250407","181"
"2694","焼肉坂井ホールディングス","東証ST","小売","17030","239866162","0.7","0.5","48.63","2.17","1.46","32.66","7100","100","20250421","76","20250407","66"
"2695","くら寿司","東証PR","小売","130202","41399600","0.64","20","36.76","2.09","85.56","1506.3","314500","100","20250421","3415","20250217","2537"
"2698","キャンドゥ","東証ST","小売","59450","16770200","0.48","17","567.2","5.44","6.25","651.39","354500","100","20250422","3935","20250407","3130"
"269A","Sapeet","東証GR","情報通信","3992","1577100","0","0","57.69","9.48","43.87","266.95","253100","100","20250129","4695","20250407","1830"
"2700","木徳神糧","東証ST","卸売","14876","1706000","1.72","150","5.09","0.95","1714.33","9185.2","872000","100","20250422","9630","20250106","5500"
"2702","日本マクドナルドホールディングス","東証ST","小売","799090","132960000","0.93","56","26.2","3.16","229.39","1903.18","601000","100","20250107","6260","20250407","5420"
"2705","大戸屋ホールディングス","東証ST","小売","38028","7257300","0.1","5","28.71","9.19","182.49","570.3","524000","100","20250319","5400","20250407","4725"
"2708","久世","東証ST","卸売","8230","4626327","2.36","42","4.99","1.07","356.66","1669.81","177900","100","20250326","2040","20250407","1416"
"2721","ジェイホールディングス","東証ST","卸売","1455","8128500","0","0","-","-","-35.49","-4.64","17900","100","20250411","310","20250407","136"
"2722","IKホールディングス","東証ST","小売","3390","8308000","1.96","8","10.34","1.33","39.44","307.13","40800","100","20250114","429","20250407","315"
"2726","パルグループホールディングス","東証PR","小売","347965","92544000","1.6","60","19.37","4.6","194.07","816.52","376000","100","20250422","4265","20250115","2758"
"2730","エディオン","東証PR","小売","214939","112005636","2.4","46","14.97","0.91","128.2","2099.1","191900","100","20250327","1943","20250407","1690"
"2733","あらた","東証PR","卸売","115564","36057424","3.18","102","9.76","0.94","328.45","3415.05","320500","100","20250327","3300","20250407","2692"
"2734","サーラコーポレーション","東証PR","小売","60097","66041147","3.52","32","11.45","0.69","79.47","1325.03","91000","100","20250423","929","20250407","737"
"2735","ワッツ","東証ST","小売","9462","13458800","2.56","18","9.75","0.72","72.1","970.87","70300","100","20250422","768","20250407","581"
"2736","フェスタリアホールディングス","東証ST","小売","2093","3628200","1.21","7","13.7","1.33","42.12","434.84","57700","100","20250421","591","20250407","470"
"2737","トーメンデバイス","東証PR","卸売","35506","6802000","4.98","260","7.4","0.72","705.79","7296.29","522000","100","20250129","7310","20250407","4515"
"2742","ハローズ","東証PR","小売","93772","21458100","1.56","68","10.88","1.33","401.67","3282.29","437000","100","20250106","4740","20250204","3690"
"2743","ピクセルカンパニーズ","東証ST","卸売","5823","97054600","0","0","-","-","-","-3.09","6000","100","20250203","116","20250407","54"
"2747","北雄ラッキー","東証ST","小売","3794","1264640","1.67","50","15.17","0.66","197.8","4522.15","300000","100","20250107","3405","20250407","2853"
"2749","JPホールディングス","東証PR","サービス","54906","87849400","1.92","12","13.64","2.88","45.82","217.05","62500","100","20250317","716","20250225","515"
"274A","ガーデン","東証ST","小売","15885","6879525","3.9","90","12.03","2","191.9","1156.27","230900","100","20250106","3220","20250407","2223"
"2750","石光商事","東証ST","卸売","6640","8000000","3.61","30","6.85","0.53","121.08","1553.95","83000","100","20250206","967","20250407","740"
"2751","テンポスホールディングス","東証ST","卸売","49171","14314800","0.26","9","16.71","2.71","205.61","1267.13","343500","100","20250328","3790","20250407","3305"
"2752","フジオフードグループ本社","東証PR","小売","61490","51241921","0.25","3","94.64","7.17","12.68","167.3","120000","100","20250430","1223","20250117","1036"
"2753","あみやき亭","東証PR","小売","29422","20546400","2.37","34","15.4","1.34","92.97","1067.86","143200","100","20250107","1786","20250407","1281"
"2760","東京エレクトロンデバイス","東証PR","卸売","87993","31336500","3.42","96","11.82","1.73","237.54","1624.12","280800","100","20250219","3305","20250407","2326"
"2762","SANKO_MARKETING_FOODS","東証ST","小売","2953","32102949","0","0","19.33","10.8","4.76","8.52","9200","100","20250306","134","20250407","85"
"2763","エフティグループ","東証ST","卸売","32770","30342268","5.09","55","5.24","1.15","206.05","937.86","108000","100","20250210","1323","20250407","942"
"2764","ひらまつ","東証ST","小売","10837","74740400","0","0","6.36","1.61","22.79","90.17","14500","100","20250326","177","20250407","122"
"2767","円谷フィールズホールディングス","東証PR","卸売","121502","65429150","2.15","40","10","2.49","185.67","745.47","185700","100","20250207","1976","20250407","1460"
"2768","双日","東証PR","卸売","779175","225000000","4.76","165","6.35","0.75","545.47","4595.93","346300","100","20250501","3549","20250407","2689"
"2769","ヴィレッジヴァンガードコーポレーション","東証ST","小売","8058","7861700","-","-","-","1.64","-143.2","626","102500","100","20250411","1097","20250411","968"
"276A","ククレブ・アドバイザーズ","東証GR","不動産","14998","4285237","0.57","20","31.21","7.5","112.14","466.71","350000","100","20250422","3960","20250114","1262"
"2776","新都ホールディングス","東証ST","卸売","4493","39066100","0","0","78.77","3.14","1.46","36.57","11500","100","20250221","182","20250407","95"
"2778","パレモ・ホールディングス","東証ST","小売","1699","12051384","0","0","6.52","1.32","21.62","107.07","14100","100","20250501","212","20250407","114"
"277A","グロービング","東証GR","サービス","54641","28728000","0","0","34.2","10.48","55.62","181.5","190200","100","20250328","2269","20250114","1434"
"2780","コメ兵ホールディングス","東証ST","小売","32206","11257000","3.64","104","7.33","1.01","390.58","2843","286100","100","20250129","4195","20250407","2400"
"2782","セリア","東証ST","小売","215310","75840000","2.47","70","20.74","2.02","136.9","1404.03","283900","100","20250422","3100","20250403","2400"
"2784","アルフレッサホールディングス","東証PR","卸売","414930","191300000","2.9","63","14.46","0.81","150.05","2670.99","216900","100","20250424","2216","20250407","1911"
"2788","アップルインターナショナル","東証ST","卸売","5420","13861400","2.56","10","5.55","0.52","70.48","746.63","39100","100","20250212","438","20250407","333"
"2789","カルラ","東証ST","小売","2691","6021112","1.12","5","8.88","1.3","50.31","342.93","44700","100","20250106","504","20250407","419"
"278A","Terra_Drone","東証GR","精密機器","62722","9319700","0","0","-","9.31","-42.06","722.61","673000","100","20250321","10740","20250106","2804"
"2790","ナフコ","東証ST","小売","54922","29784400","3.15","58","29.04","0.31","63.49","5935.63","184400","100","20250106","2103","20250407","1555"
"2791","大黒天物産","東証PR","小売","109638","14502400","0.44","33","16.48","1.77","458.76","4282.33","756000","100","20250106","9660","20250403","6180"
"2792","ハニーズホールディングス","東証PR","小売","44724","27900000","3.43","55","9.12","1.01","175.81","1581.86","160300","100","20250109","1745","20250407","1485"
"2795","日本プリメックス","東証ST","卸売","4877","5523592","2.83","25","11.09","0.59","79.62","1499.23","88300","100","20250213","920","20250407","800"
"2796","ファーマライズホールディングス","東証ST","小売","5849","12060381","2.89","14","-","0.82","-18.92","593.09","48500","100","20250108","550","20250407","456"
"2798","ワイズテーブルコーポレーション","東証ST","小売","9473","3298400","-","-","17.54","13.97","163.73","205.64","287200","100","20250106","3100","20250407","2710"
"2801","キッコーマン","東証PR","食料品","1406138","969416010","1.72","25","22.94","2.69","63.23","539.54","145050","100","20250106","1761","20250407","1316"
"2802","味の素","東証PR","食料品","3019930","1005637616","1.33","40","40.54","3.69","74.08","814.11","300300","100","20250204","3270","20250407","2636"
"2804","ブルドックソース","東証PR","食料品","24170","13954880","2.02","35","47.14","1.06","36.74","1630.22","173200","100","20250106","1831","20250407","1539"
"2805","ヱスビー食品","東証ST","食料品","77647","27244468","1.3","37","10.13","0.87","281.36","3276.92","285000","100","20250423","2900","20250407","2316"
"2806","ユタカフーズ","東証ST","食料品","18928","8832311","1.87","40","26.12","0.66","82.04","3223.54","214300","100","20250116","2402","20250407","1823"
"2809","キユーピー","東証PR","食料品","469214","141500000","1.93","64","15.79","1.47","210.07","2250.41","331600","100","20250106","3416","20250220","2778"
"280A","TMH","東証GR","卸売","4908","3690350","0","0","25.18","4.04","52.83","328.97","133000","100","20250108","1827","20250407","1068"
"2810","ハウス食品グループ本社","東証PR","食料品","274909","98498416","1.72","48","21.55","0.91","129.49","3083.37","279100","100","20250423","2936","20250407","2602"
"2811","カゴメ","東証PR","食料品","281942","93886944","1.6","48","19.99","1.6","150.24","1871.15","300300","100","20250311","3076","20250407","2668"
"2813","和弘食品","東証ST","食料品","11748","2847957","1.96","81","7.7","1.19","535.44","3472.64","412500","100","20250106","6210","20250407","3270"
"2814","佐藤食品工業","東証ST","食料品","21025","9027460","1.72","40","16.9","0.45","137.79","5119.59","232900","100","20250313","2448","20250123","2049"
"2815","アリアケジャパン","東証PR","食料品","195540","32808683","1.85","110","24.34","1.54","244.91","3860.95","596000","100","20250321","6520","20250203","4940"
"2816","ダイショー","東証ST","食料品","13826","9868800","1.28","18","29.4","1.32","47.66","1060.43","140100","100","20250327","1435","20250407","1378"
"2818","ピエトロ","東証ST","食料品","12324","7062230","1.38","24","121.52","1.88","14.36","927.32","174500","100","20250326","1800","20250407","1700"
"2819","エバラ食品工業","東証ST","食料品","26073","9868626","1.7","45","18.44","0.74","143.29","3548.66","264200","100","20250106","2950","20250407","2455"
"281A","インフォメティス","東証GR","情報通信","3069","4863357","0","0","26.68","2.41","23.65","261.91","63100","100","20250212","1313","20250409","593"
"2820","やまみ","東証ST","食料品","31389","6967500","1.6","72","22.47","3.22","200.51","1398.13","450500","100","20250423","4930","20250217","2845"
"2830","アヲハタ","東証ST","食料品","21352","8292000","0.78","20","71.81","1.58","35.86","1628.57","257500","100","20250402","2592","20250407","2450"
"2831","はごろもフーズ","東証ST","食料品","34074","10325365","1.82","60","15.53","0.76","212.53","4340.52","330000","100","20250326","3370","20250407","3020"
"285A","キオクシアホールディングス","東証PR","電気機器","984323","539355180","0","0","3.73","1.37","489.8","1333.03","182500","100","20250318","3250","20250407","1510"
"286A","ユカリア","東証GR","サービス","37983","37982900","0","0","13.56","1.97","73.72","507.67","100000","100","20250221","1138","20250109","874"
"2871","ニチレイ","東証PR","食料品","497673","256929738","2.37","46","19","1.89","101.93","1027.5","193700","100","20250106","2095","20250218","1673"
"2872","セイヒョー","東証ST","食料品","3817","1620993","0.76","18","29.86","2.35","78.86","1000.2","235500","100","20250421","2537","20250106","1930"
"2874","横浜冷凍","東証PR","卸売","49903","59266684","2.85","24","17.72","0.63","47.51","1333.67","84200","100","20250318","907","20250407","737"
"2875","東洋水産","東証PR","食料品","1031526","110881044","1.83","170","15.86","1.93","586.45","4825.07","930300","100","20250109","10845","20250407","7748"
"2876","デルソーレ","東証ST","食料品","3943","9105290","3.46","15","-","0.6","-39.3","719.26","43300","100","20250416","469","20250407","370"
"2877","日東ベスト","東証ST","食料品","8823","12102660","1.65","12","19.6","0.56","37.2","1303.12","72900","100","20250106","790","20250422","702"
"287A","黒田グループ","東証ST","卸売","40841","44683980","6.56","60","10.63","0.98","85.98","929.71","91400","100","20250221","1151","20250407","733"
"2882","イートアンドホールディングス","東証PR","食料品","23382","11344970","0.73","15","44.53","2.14","46.28","964.34","206100","100","20250110","2259","20250407","1892"
"2883","大冷","東証ST","食料品","11452","6008300","3.15","60","-","1.14","-91.88","1665.74","190600","100","20250430","1993","20250407","1893"
"2884","ヨシムラ・フード・ホールディングス","東証PR","食料品","21641","24045155","0","0","19.15","1.94","46.99","463.27","90000","100","20250106","1369","20250407","773"
"288A","ラクサス・テクノロジーズ","東証GR","サービス","4490","25654383","0","0","7.52","1.53","23.26","114.02","17500","100","20250107","321","20250407","141"
"2892","日本食品化工","東証ST","食料品","18112","6400000","5.12","145","9.94","0.49","284.65","5779.32","283000","100","20250430","2900","20250407","2150"
"2894","石井食品","東証ST","食料品","5683","18392000","1.29","4","64.38","1.47","4.8","210.55","30900","100","20250414","352","20250407","295"
"2897","日清食品ホールディングス","東証PR","食料品","949208","302584500","2.23","70","17.26","1.94","181.76","1616.76","313700","100","20250106","3839","20250407","2866"
"2901","ウェルディッシュ","東証ST","食料品","12663","20557400","0.32","2","25.81","23.25","23.87","26.49","61600","100","20250214","836","20250407","492"
"2903","シノブフーズ","東証ST","食料品","11427","13000000","3.07","27","10.91","0.67","80.55","1306.86","87900","100","20250318","1030","20250407","785"
"2904","一正蒲鉾","東証ST","食料品","14073","18590000","1.85","14","14.5","0.92","52.21","821.54","75700","100","20250417","770","20250130","705"
"2907","あじかん","東証ST","食料品","9202","7700000","2.51","30","6.5","0.52","183.95","2285.92","119500","100","20250203","1280","20250407","1000"
"2908","フジッコ","東証PR","食料品","49163","30050759","2.81","46","46.57","0.68","35.13","2411.87","163600","100","20250106","1701","20250407","1480"
"290A","Synspective","東証GR","情報通信","139417","111444750","0","0","-","6.97","-13.69","179.54","125100","100","20250421","1419","20250120","449"
"2910","ロック・フィールド","東証PR","食料品","40853","26788748","1.51","23","63.54","1.36","24","1118.28","152500","100","20250314","1652","20250407","1475"
"2911","旭松食品","東証ST","食料品","4331","1876588","1.52","35","17.75","0.53","130.02","4379.46","230800","100","20250421","2438","20250407","2250"
"2914","日本たばこ産業","東証PR","食料品","8976000","2000000000","4.32","194","17.71","2.12","253.44","2121.33","448800","100","20250502","4488","20250220","3700"
"2915","ケンコーマヨネーズ","東証PR","食料品","30612","16476000","2.05","38","9.32","0.71","199.28","2627.08","185800","100","20250106","2030","20250407","1600"
"2916","仙波糖化工業","東証ST","食料品","8254","11400000","2.07","15","12.68","0.67","57.1","1072.68","72400","100","20250214","829","20250407","644"
"2917","大森屋","東証ST","食料品","4746","5098096","-","-","25.87","0.4","35.99","2337.96","93100","100","20250331","946","20250305","890"
"2918","わらべや日洋ホールディングス","東証PR","食料品","38142","17625660","4.16","90","9.69","0.67","223.26","3244.2","216400","100","20250414","2421","20250407","1849"
"291A","リスキル","東証GR","サービス","6888","2080900","0","0","15.72","5","210.54","662.21","331000","100","20250221","4390","20250407","2550"
"2922","なとり","東証PR","食料品","30951","15032209","1.17","24","17.51","0.98","117.62","2096.55","205900","100","20250106","2232","20250407","1857"
"2923","サトウ食品","東証ST","食料品","36747","5075500","0.97","70","17.22","1.65","420.33","4393.45","724000","100","20250415","7950","20250311","6500"
"2924","イフジ産業","東証ST","食料品","18210","8345370","3.02","66","8.31","1.65","262.52","1324.89","218200","100","20250422","2279","20250116","1484"
"2926","篠崎屋","東証ST","食料品","1242","14436600","-","-","30.39","1.16","2.83","74.16","8600","100","20250206","93","20250407","66"
"2927","AFC-HDアムスライフサイエンス","東証ST","食料品","12143","14387699","3.79","32","8.99","0.81","93.83","1041.15","84400","100","20250128","904","20250407","765"
"2929","ファーマフーズ","東証PR","食料品","26665","29079000","2.73","25","16.34","2.21","56.12","414.6","91700","100","20250110","1010","20250407","722"
"2930","北の達人コーポレーション","東証PR","化学","19750","141072000","-","-","31.32","2.48","4.47","56.5","14000","100","20250116","185","20250416","132"
"2931","ユーグレナ","東証PR","食料品","61658","136411986","0","0","-","1.94","-","232.44","45200","100","20250218","541","20250117","381"
"2932","STIフードホールディングス","東証ST","食料品","22188","17778900","3.21","40","11.38","2.65","109.68","471.68","124800","100","20250107","1657","20250407","1051"
"2933","紀文食品","東証PR","食料品","24519","22829781","1.86","20","8.59","1.17","125.06","914.99","107400","100","20250423","1123","20250407","978"
"2934","ジェイフロンティア","東証GR","食料品","8890","5220195","0","0","211.29","6.71","8.06","253.88","170300","100","20250306","2269","20250107","1250"
