"SC","名称","市場","業種","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","VWAP","出来高","出来高率(％)","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率(％)","安値日付","年初来安値","年初来安値乖離率(％)"
"190A","Chordia_Therapeutics","東証GR","医薬品","20250502","230","-1","-0.43","231","230","233","228","230.48","495200","0.72","114131","15867","151","311","20250110","457","49.67","20250407","214","7.48"
"1911","住友林業","東証PR","建設","20250502","4227","37","0.88","4190","4200","4250","4191","4224.78","1084900","0.53","4583465","871062","3490","4890","20250128","5524","23.48","20250407","3662","15.43"
"1914","日本基礎技術","東証ST","建設","20250502","709","4","0.57","705","705","709","695","701.93","117700","0.4","82617","20807","555","855","20250307","722","1.8","20250407","547","29.62"
"1921","巴コーポレーション","東証ST","建設","20250502","1488","2","0.13","1486","1474","1499","1443","1480.42","64400","0.16","95339","60655","1186","1786","20250422","1510","1.46","20250114","935","59.14"
"1925","大和ハウス工業","東証PR","建設","20250502","5192","33","0.64","5159","5197","5235","5182","5200.39","1208800","0.18","6286233","3424015","4159","6159","20250502","5235","0.82","20250117","4579","13.39"
"1926","ライト工業","東証PR","建設","20250502","2652","6","0.23","2646","2640","2666","2635","2651.97","109300","0.24","289861","120580","2146","3150","20250423","2719","2.46","20250121","2141","23.87"
"1928","積水ハウス","東証PR","建設","20250502","3288","14","0.43","3274","3300","3322","3281","3297.41","1399400","0.21","4614393","2179934","2574","3974","20250106","3821","13.95","20250407","2906","13.15"
"1929","日特建設","東証PR","建設","20250502","1050","-1","-0.1","1051","1050","1055","1045","1049.94","39500","0.09","41473","43841","751","1351","20250203","1089","3.58","20250407","909","15.51"
"192A","インテグループ","東証GR","サービス","20250502","2680","-40","-1.47","2720","2739","2739","2680","2704.02","10500","0.5","28392","5671","2220","3220","20250106","4355","38.46","20250407","2170","23.5"
"1930","北陸電気工事","東証PR","建設","20250502","1165","4","0.34","1161","1161","1207","1143","1166.2","86300","0.29","100643","34908","861","1461","20250319","1274","8.56","20250407","976","19.36"
"1934","ユアテック","東証PR","建設","20250502","1832","5","0.27","1827","1818","1846","1806","1827.68","104600","0.15","191175","126759","1427","2227","20250428","1880","2.55","20250407","1423","28.74"
"1938","日本リーテック","東証PR","建設","20250502","1597","-2","-0.13","1599","1600","1635","1583","1602.23","27100","0.11","43420","40911","1199","1999","20250428","1652","3.33","20250116","1255","27.25"
"1939","四電工","東証PR","建設","20250502","1277","18","1.43","1259","1270","1288","1262","1274.39","141800","0.29","180709","62275","959","1559","20250106","1637","21.99","20250407","1076","18.68"
"1941","中電工","東証PR","建設","20250502","3360","-5","-0.15","3365","3370","3380","3320","3352.18","82700","0.14","277225","195344","2665","4065","20250428","3605","6.8","20250407","2882","16.59"
"1942","関電工","東証PR","建設","20250502","2837.5","24","0.85","2813.5","2800","2837.5","2779","2815.51","624200","0.3","1757439","582506","2313.5","3314","20250428","2994","5.23","20250128","2171","30.7"
