SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
7059,コプロ・ホールディングス,東証PR,サービス,32600,20000000,3.68,60,17.73,3.98,91.96,409.81,163000,100,20250214,1789,20250407,1309
7065,ユーピーアール,東証ST,サービス,4956,7660000,3.86,25,13.04,0.55,49.61,1169.01,64700,100,20250114,874,20250407,601
7084,Smile_Holdings,東証GR,サービス,4493,3258000,6.89,95,32.94,0.68,41.86,2037.79,137900,100,20250228,1723,20250106,824
7087,ウイルテック,東証ST,サービス,5828,6461000,4.43,40,9.59,0.72,94.09,1254.87,90200,100,20250303,1002,20250407,701
7088,フォーラムエンジニアリング,東証PR,サービス,55503,53419200,4.81,50,19.95,4.4,52.07,235.94,103900,100,20250305,1122,20250407,833
7092,Fast_Fitness_Japan,東証PR,サービス,27290,18755980,3.09,45,17.59,2.04,82.74,712.99,145500,100,20250225,1570,20250407,1210
7116,ダイワ通信,東証ST,卸売,2390,2707000,5.1,45,9.26,0.87,95.31,1014.05,88300,100,20250117,1236,20250407,796
7120,SHINKO,東証ST,卸売,3666,1834000,4.85,97,7.02,2.18,284.6,919.03,199900,100,20250325,2150,20250404,1860
7122,近畿車輛,東証ST,輸送用機器,9893,6908359,3.49,50,98.55,0.3,14.53,4760.87,143200,100,20250321,1646,20250407,1256
7128,フルサト・マルカホールディングス,東証PR,卸売,56070,25143642,4.53,101,16.25,0.74,137.26,3008.84,223000,100,20250106,2554,20250407,2015
7131,のむら産業,東証ST,卸売,2817,1391575,3.06,62,7.6,1.41,266.2,1436.88,202400,100,20250422,2435,20250407,1638
7134,アップガレージグループ,東証ST,小売,7393,7907400,3.16,29.5,10.39,1.7,89.98,549.14,93500,100,20250107,1099,20250407,753
7148,FPG,東証PR,証券・先物,190899,84543600,5.78,130.4,8.65,3.42,261.16,660.76,225800,100,20250107,2905,20250407,1700
7162,アストマックス,東証ST,証券・先物,2803,13160300,3.29,7,-,0.46,-11.79,459.75,21300,100,20250326,267,20250407,200
7164,全国保証,東証PR,その他金融,421082,137743580,3.42,104.5,13.19,1.84,231.83,1664.05,305700,100,20250423,3140,20250117,2658
7172,ジャパンインベストメントアドバイザー,東証PR,証券・先物,99527,61022353,5.33,87,9.4,1.43,173.47,1138.07,163100,100,20250321,1985,20250116,1108
7173,東京きらぼしフィナンシャルグループ,東証PR,銀行,158461,30650115,3.29,170,4.74,0.49,1091.75,10458.15,517000,100,20250321,6200,20250407,4245
7181,かんぽ生命保険,東証PR,保険,1068723,383192300,3.73,104,8.9,0.31,313.5,9116.7,278900,100,20250327,3204,20250407,2503
7182,ゆうちょ銀行,東証PR,銀行,5074904,3604335520,3.98,56,12.73,0.54,110.61,2589.01,140800,100,20250327,1636,20250407,1160
7184,富山第一銀行,東証PR,銀行,66110,64309700,3.31,34,5.06,0.41,203.23,2479.98,102800,100,20250401,1181,20250407,864
